fips,deaths
53061,3
17031,46
06059,72
04013,180
06037,237
06085,13
25025,16
06075,5
55025,0
06073,26
48029,89
31055,7
06023,0
06067,35
06095,3
53063,14
49035,11
06041,2
06055,2
06097,13
41067,5
53033,16
06001,12
12057,36
12081,3
06061,2
06081,2
13121,12
25021,7
33009,0
53071,1
06013,7
37183,6
34003,-5
36119,2
48157,17
53007,1
08035,0
08059,-1
12113,7
24031,4
25017,32
32003,117
32031,4
36059,1
47187,1
48201,149
04021,8
06113,1
08031,6
08037,0
08041,5
12011,108
12071,23
13233,1
15003,5
18097,9
21067,2
27123,11
34007,2
36087,1
37037,1
40143,11
42045,12
42127,0
45019,12
45055,2
49011,0
49053,0
53011,3
53031,0
53053,13
06019,23
06039,2
06065,46
06087,0
11001,7
12015,7
12091,21
12127,8
13067,19
13135,13
20091,2
25003,0
29189,30
33015,3
36091,0
41029,0
41035,0
42091,2
50003,0
51059,6
53037,1
09001,1
13057,2
18063,2
19103,3
21097,0
21111,9
24025,0
25027,27
27019,1
34031,2
36103,3
36111,0
41019,1
41047,1
45083,13
47037,18
47157,33
53035,1
04019,20
06089,1
08005,0
08069,1
13089,8
13113,0
13115,1
18113,1
19155,2
22051,6
24033,9
34017,2
34025,2
34039,3
39035,24
42089,2
48085,9
51810,8
55093,0
06077,33
06111,7
08051,0
12001,3
12021,11
12089,2
12101,8
12103,47
13049,2
17089,2
17111,0
18001,0
18011,0
22071,1
25009,16
26125,5
26163,13
27003,1
34005,5
41051,9
42101,25
46005,0
46023,0
46035,1
46099,2
47163,6
48113,36
48339,7
48439,43
49057,3
51107,0
53057,0
53073,0
05069,2
06099,28
08097,0
10003,4
12086,181
12109,5
13015,2
13177,0
13185,4
17097,5
18067,-4
18081,1
18141,5
22017,7
24005,11
27109,1
28035,3
34023,5
35001,11
35049,0
35053,0
36055,0
38101,0
39151,4
41017,0
41043,1
41053,1
41059,0
42017,1
45057,3
46009,0
48183,10
50007,0
51013,2
53029,-1
53067,0
55039,0
55133,5
56033,1
02020,1
05119,3
06107,5
08001,5
09005,0
12019,5
12031,13
12099,67
12115,7
12117,16
19027,0
20209,4
21173,1
23001,1
26065,3
26081,1
26117,1
26147,0
26161,1
27037,3
27053,17
27145,1
29077,5
31025,0
32510,0
34013,2
34027,0
36001,2
36025,0
36027,0
36043,1
36071,1
37025,1
37067,10
37101,3
37119,15
37133,1
39155,2
41005,7
42095,1
42103,0
47093,4
51510,0
51085,0
51095,0
51147,1
51153,4
53013,0
53027,2
53077,15
01051,3
01073,23
01083,1
01101,2
01125,7
06069,3
08019,0
08101,0
08107,0
08117,0
08123,0
12095,10
12097,8
13129,1
13151,0
16001,14
19085,0
20015,0
22089,0
22103,6
22109,3
23005,1
24003,1
24017,0
